origin,utc,name,n_cells,mean_mm,max_mm,coverage,eta_area,eta_first,reliable
1789659000,2026-09-17T15:30:00Z,พิชัย,176,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ลับแล,116,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ฟากท่า,163,0.033,0.294,0.1718,15,15,True
1789659000,2026-09-17T15:30:00Z,บ้านโคก,247,0.035,0.49,0.17,30,15,True
1789659000,2026-09-17T15:30:00Z,ท่าปลา,442,0.108,0.588,0.4796,30,15,True
1789659000,2026-09-17T15:30:00Z,น้ำปาด,363,0.03,0.588,0.1019,105,15,True
1789659000,2026-09-17T15:30:00Z,เมืองอุตรดิตถ์,202,0.003,0.098,0.0297,,90,True
1789659000,2026-09-17T15:30:00Z,ตรอน,80,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,หล่มเก่า,246,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,วิเชียรบุรี,377,0.071,1.609,0.0849,,15,True
1789659000,2026-09-17T15:30:00Z,ชนแดน,279,0.142,1.609,0.1756,15,15,True
1789659000,2026-09-17T15:30:00Z,หล่มสัก,350,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เมืองเพชรบูรณ์,571,0.167,1.609,0.2277,15,15,True
1789659000,2026-09-17T15:30:00Z,ทองแสนขัน,185,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,บึงสามัคคี,71,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,โกสัมพีนคร,137,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,สอง,380,0.005,0.701,0.0132,,30,True
1789659000,2026-09-17T15:30:00Z,วังชิ้น,255,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,สูงเม่น,88,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เด่นชัย,135,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ร้องกวาง,221,0.035,0.598,0.1403,15,15,True
1789659000,2026-09-17T15:30:00Z,ลอง,317,0.006,0.299,0.0379,,90,True
1789659000,2026-09-17T15:30:00Z,เมืองแพร่,205,0.031,0.603,0.122,105,45,True
1789659000,2026-09-17T15:30:00Z,ทัพทัน,94,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,สว่างอารมณ์,110,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เมืองอุทัยธานี,59,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ห้วยคต,94,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ศรีสวัสดิ์,440,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,บ้านไร่,821,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ลานสัก,360,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,หนองฉาง,89,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,หนองขาหย่าง,43,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เชียงม่วน,82,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ดอกคำใต้,37,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เมืองพะเยา,6,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ทองผาภูมิ,851,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,สังขละบุรี,793,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,หนองม่วงไข่,35,0.233,0.701,0.6571,30,15,True
1789659000,2026-09-17T15:30:00Z,ภูเวียง,81,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,มัญจาคีรี,50,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,หนองปรือ,104,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เลาขวัญ,123,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,หนองนาคำ,43,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,โคกโพธิ์ไชย,65,0.002,0.098,0.0154,,15,True
1789659000,2026-09-17T15:30:00Z,บ้านหลวง,91,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,นาน้อย,266,0.06,0.397,0.3647,15,15,True
1789659000,2026-09-17T15:30:00Z,ภูผาม่าน,74,0.062,0.784,0.0946,,15,True
1789659000,2026-09-17T15:30:00Z,เมืองน่าน,161,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,แม่จริม,262,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เวียงเก่า,78,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เมืองกำแพงเพชร,368,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ไทรงาม,133,0.222,0.784,0.5188,15,15,True
1789659000,2026-09-17T15:30:00Z,ปางศิลาทอง,186,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ลานกระบือ,103,0.032,0.588,0.1359,105,15,True
1789659000,2026-09-17T15:30:00Z,ทรายทองวัฒนา,53,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,คลองขลุง,179,0.002,0.098,0.0223,,45,True
1789659000,2026-09-17T15:30:00Z,พรานกระต่าย,252,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,คลองลาน,363,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ขาณุวรลักษบุรี,296,0.0,0.098,0.0034,,45,True
1789659000,2026-09-17T15:30:00Z,ภูเพียง,113,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,นาหมื่น,245,0.197,0.903,0.6653,15,15,True
1789659000,2026-09-17T15:30:00Z,เวียงสา,543,0.003,0.196,0.0295,,15,True
1789659000,2026-09-17T15:30:00Z,น้ำโสม,153,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,นายูง,126,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ชุมแพ,173,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,สีชมพู,132,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,สุวรรณคูหา,140,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,นาวัง,65,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,หนองเรือ,80,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,โนนสัง,51,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ศรีบุญเรือง,224,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เมืองหนองบัวลำภู,217,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,นากลาง,173,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ทุ่งเสลี่ยม,144,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ดอยหล่อ,56,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เมืองตาก,486,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,แม่ออน,116,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,อุ้มผาง,1209,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,วังเจ้า,183,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,แม่สอด,398,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,พบพระ,249,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,แม่ระมาด,380,0.451,4.241,0.2763,30,15,True
1789659000,2026-09-17T15:30:00Z,ท่าสองยาง,401,0.08,2.833,0.1172,120,30,True
1789659000,2026-09-17T15:30:00Z,บ้านตาก,255,0.002,0.098,0.0196,,30,True
1789659000,2026-09-17T15:30:00Z,สามเงา,698,0.554,4.272,0.394,15,15,True
1789659000,2026-09-17T15:30:00Z,จอมทอง,280,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,แก้งสนามนาง,79,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,สีคิ้ว,292,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,พระทองคำ,90,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เทพารักษ์,92,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,สันกำแพง,65,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,สันป่าตอง,44,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ดอยเต่า,213,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,อมก๋อย,704,0.264,4.441,0.1648,15,15,True
1789659000,2026-09-17T15:30:00Z,ฮอด,378,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เมืองลำพูน,117,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,แม่ทา,192,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,บ้านธิ,34,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,บ้านหมอ,24,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เวียงหนองล่อง,14,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ทุ่งหัวช้าง,113,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ป่าซาง,74,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,บ้านโฮ่ง,124,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,แก่งคอย,73,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ลี้,454,0.172,3.587,0.2313,15,15,True
1789659000,2026-09-17T15:30:00Z,พระพุทธบาท,55,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ดอนพุด,7,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,หนองโดน,31,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เมืองลำปาง,300,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เถิน,443,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,แม่พริก,167,0.121,3.311,0.1317,15,15,True
1789659000,2026-09-17T15:30:00Z,แจ้ห่ม,274,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,แม่เปิน,85,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เสริมงาม,185,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ชุมตาบง,61,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,งาว,344,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ตากฟ้า,125,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,แม่เมาะ,283,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,แม่วงก์,257,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เกาะคา,128,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,พยุหะคีรี,169,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ลาดยาว,187,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,สบปราบ,125,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ห้างฉัตร,154,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,แม่ทะ,203,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เมืองปาน,202,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เมืองอ่างทอง,6,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ไชโย,20,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,สามโก้,10,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,แสวงหา,43,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,วิเศษชัยชาญ,7,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,โพธิ์ทอง,48,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เมืองลพบุรี,190,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เดิมบางนางบวช,130,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ด่านช้าง,309,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,หนองม่วง,111,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ลำสนธิ,136,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,สามชุก,77,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ดอนเจดีย์,72,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,สระโบสถ์,83,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ศรีประจันต์,41,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,โคกเจริญ,135,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,บ้านหมี่,136,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ท่าหลวง,100,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ชัยบาดาล,280,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ท่าวุ้ง,64,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,พัฒนานิคม,217,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,โคกสำโรง,180,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,หนองหญ้าไซ,108,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ท่าช้าง,11,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,อินทร์บุรี,66,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ค่ายบางระจัน,26,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,พรหมบุรี,19,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เนินสง่า,65,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เมืองสิงห์บุรี,31,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ซับใหญ่,72,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,บางระจัน,46,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ภูกระดึง,190,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ภูหลวง,145,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,หนองหิน,78,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ผาขาว,100,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เอราวัณ,87,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,วังสะพุง,281,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,วังม่วง,70,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เฉลิมพระเกียรติ,35,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,มวกเหล็ก,175,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,บ้านเขว้า,124,0.006,0.784,0.0081,,15,True
1789659000,2026-09-17T15:30:00Z,คอนสวรรค์,113,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เมืองชัยภูมิ,358,0.017,2.316,0.0112,,15,True
1789659000,2026-09-17T15:30:00Z,วังทอง,425,0.02,0.784,0.0471,,15,True
1789659000,2026-09-17T15:30:00Z,เนินมะปราง,276,0.118,0.784,0.2246,15,15,True
1789659000,2026-09-17T15:30:00Z,สวรรคโลก,156,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ศรีนคร,46,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,หันคา,139,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ศรีสัชนาลัย,534,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,หนองมะโมง,76,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ศรีสำโรง,142,0.001,0.098,0.007,,120,True
1789659000,2026-09-17T15:30:00Z,สรรพยา,55,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,คีรีมาศ,171,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,สรรคบุรี,89,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,กงไกรลาศ,108,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,มโนรมย์,66,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เมืองสุโขทัย,136,0.014,0.294,0.0882,,15,True
1789659000,2026-09-17T15:30:00Z,วัดสิงห์,67,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,บ้านด่านลานหอย,231,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เมืองชัยนาท,70,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เนินขาม,65,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,คอนสาร,334,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ภักดีชุมพล,154,0.191,1.609,0.2727,15,15,True
1789659000,2026-09-17T15:30:00Z,บ้านแท่น,76,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,แก้งคร้อ,168,0.025,1.093,0.0536,,15,True
1789659000,2026-09-17T15:30:00Z,ภูเขียว,201,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,หนองบัวระเหว,179,0.037,1.609,0.0447,,15,True
1789659000,2026-09-17T15:30:00Z,เทพสถิต,239,0.04,1.3,0.0544,,15,True
1789659000,2026-09-17T15:30:00Z,จัตุรัส,172,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,บำเหน็จณรงค์,120,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เกษตรสมบูรณ์,268,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,หนองบัวแดง,537,0.001,0.098,0.0056,,15,True
1789659000,2026-09-17T15:30:00Z,ภูเรือ,168,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ท่าลี่,171,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,วชิรบารมี,68,0.436,0.784,0.8382,15,15,True
1789659000,2026-09-17T15:30:00Z,ด่านซ้าย,341,0.064,1.506,0.1114,105,15,True
1789659000,2026-09-17T15:30:00Z,นาแห้ว,153,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,บึงนาราง,74,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,เชียงคาน,213,0.0,0.0,0.0,,,True
1789659000,2026-09-17T15:30:00Z,ดงเจริญ,56,0.002,0.098,0.0179,,15,True
